customer_tweet_id,agent_tweet_id,customer_text,agent_reply,created_at
4001,3999,"Help, Can someone actually help, have tried inputting info onto missing baggage on ie, chrome and apple. 8 days waiting for bag. A mess",We can try and help Kevin. Please DM a contact telephone number and time we can contact you. ^Oliver,Tue Oct 31 23:08:55 +0000 2017
4000,4003,"00447900248601, anytime today","through Kuwait Airlines, which will be why our site isn't accepting your World Tracer. It would be best to reach out to them. 2/2 ^Kimbers",Wed Nov 01 21:35:38 +0000 2017
4004,4007,"I have had enough of this terrible customer service, k airw do not reply to my requests for update. I paid b airways, you delayed the flight","We’re sorry we’re unable to you, Kevin. The agreement between airlines is the last carrier, is the carrier to assist with delayed baggage.",Tue Nov 07 11:26:00 +0000 2017
4008,4010,Can you send me prooft that the bag was transferred to kuwait airways at hesthrow?,"I’m sorry Kevin, but you need to contact Kuwait Airways. We don’t have access to their tracer 1/2",Tue Nov 07 12:28:51 +0000 2017
4014,4015,"Have filed report with kuwait airlines, their file ref kwiku14346 hope this helps","Thanks for confirming your World Baggae tracer reference Kevin. We're now following you. Please send DM with your full name, 1/2",Wed Oct 25 16:24:02 +0000 2017
4017,4018,"Your rep at hrow assured me it would be on Kuwait airlines, it was not. Went to their baggage reclaim, they are waiting for you to send it","Hi, Kevin. That may be the case, but as Kuwait Airlines are the last airline on your ticket it's up to them to issue a baggage file 1/2",Wed Oct 25 13:18:47 +0000 2017
4020,4019,Kuwait airlines leaving heathrow on monday afternoon,"Hi Kevin. If Kuwait Airlines was the airline who you last traveled with, you would need to contact them regarding your delayed bag. ^Lolly",Wed Oct 25 02:36:58 +0000 2017
4022,4021,"No, when i was in hrow, they took the old tickets off me which had the ref. No Was told it would be on kuwait airlines monday anoon flight","Which airline operated your last flight, Kevin? ^Lisa",Tue Oct 24 19:15:15 +0000 2017
4024,4023,"where is my missing bag ? On br airways flight to bfast hrow kuwait, delayed flightput on K airlines mon anoon veryupset","Hi Kevin, you should have a WorldTracer reference number to allow you to view updates. Do you have this at all? ^Teresa",Tue Oct 24 14:24:19 +0000 2017
4027,4026,Hi I flew BA198 from Mumbai to London today and my cabin crew called Victor &amp; Sarah were the best cabin crew ever. #payrise,"That's great to hear, Stephen. We'll pass your lovely comments on. ^Helen",Tue Oct 31 23:04:04 +0000 2017
4031,4029,Can't believe don't provide free food on flights costs £300+ but are happy to do so at £45. Rip off Britain! 😂,"Hi Jake, our short-haul Euro traveller cabin operates a buy on board menu, all other flights have complimentary meals. ^Helen",Tue Oct 31 23:02:19 +0000 2017
4030,4032,"That's fine, but when a budget airline such as KLM can provide complimentary food for a fraction of the price, it is laughable!","We'll make sure your comments are passed on about the catering options we offer, Jake. ^HP",Wed Nov 01 13:27:51 +0000 2017
5037,5042,"not overly delighted at the long delay from Edinburgh today, nor the lack of information as to why or that I’m not home yet","We're disappointed to hear you're flight was delayed, Amy. We're sorry you didn't receive much communication. 1/2",Tue Oct 31 23:23:57 +0000 2017
5036,5039,"It was the 10:35am from Edinburgh to Heathrow. We finally left around 2pm, not impressed BA...","Please accept our apologies, Amy. BA1441 was delayed due to a late incoming aircraft. 1/2",Wed Nov 01 11:17:00 +0000 2017
5040,5041,"That’s funny, when we finally got on the plane the pilot told us it was an engine fault...","That's strange, Amy. Sorry for the confusion caused. ^Rach",Wed Nov 01 21:58:01 +0000 2017
5045,5044,Managed a quick cuddle with our four legged passenger before his 56 flight from JNB to LHR. He was very comfortable 🐶☺️ https://t.co/CAqgi1eJgN,We're so jealous. We wish we could have got a cuddle too. Thanks for your post. ^DaniH,Tue Oct 31 23:28:35 +0000 2017
5049,5050,Help. Just booked a flight seconds ago and now see I have added an extra letter to end of a PAX name. Is there a way to fix or one letter extra OK?,"We can have a look at your booking. Was it made directly with us? If so, please follow us back and send DM with your full name, 1/2",Tue Oct 31 23:28:05 +0000 2017
5052,5051,Me and my teapot had a pleasant flight with to MUC this evening. thank you,"Hi Colin, so pleased you and your teapot had a great flight with us. We hope we can welcome you both on board again soon.^Jo",Tue Oct 31 23:27:12 +0000 2017
5055,5058,my Executive Club account has been hacked. Please pm me.,"We need to investigate Kelly. Please send DM with your full name, Executive Account number, full postal address, email address and 1/2",Tue Oct 31 23:25:59 +0000 2017
5054,5057,Thanks for your reply Oliver. My Twitter wasn’t working very well last night so I telephoned the Executive Club.,"We're pleased to hear you've been able to contact our Executive Club team, Kelly. Please let us know if we can help you with anything 1/2",Wed Nov 01 10:42:38 +0000 2017
5060,5059,Done online check-in but don't have the credit card can I still fly?,"Hi there, you can still travel as long as you declared you won't have the card with you upon booking your trip.^Jo",Tue Oct 31 23:25:49 +0000 2017
5062,5061,Happy halloween! decided to go with a logo this year :P https://t.co/DHYvgFTnHj,"Happy Halloween, Joe. Thanks for your fantastic post. We hope you had an amazing evening. ^DaniH",Tue Oct 31 23:25:12 +0000 2017
5064,5063,#BA198 massive thank you to Victor De Georgio for such amazing service BOM-LHR,"You're welcome, Mark. We'll pass on your lovely comments. ^Helen",Tue Oct 31 23:24:14 +0000 2017
5066,5065,BA0229 cancelled Friday. Rebooked on BA293. Told to call customer relations for complimentary upgrade but they are closed?,"Hi Daniel, we wouldn't offer a complimentary upgrade for a cancelled flight. Who advised you to contact us? ^Helen",Tue Oct 31 23:22:38 +0000 2017
5068,5069,"is there a problem with server, as trying to book flight and car gets a message - Sorry, having problems!","Hi Tony. An issue has been reported to our faults team. I apologise the inconvenience caused. If you would like to contact us, 1/2",Tue Oct 31 23:17:49 +0000 2017
5072,5070,"lost opt luggage for over a week, then broke out cases, now refuses to pay for the damages they caused..disgraceful","We don't like to hear this, Chris. Did you report the damage within 7 days of receiving your bags? ^Helen",Tue Oct 31 23:15:40 +0000 2017
5071,5073,"Wasn’t told I had to when speaking to BA, conveniently forgot to tell me that very important fact","Hi Chris, when you were speaking to someone about this did they give you any reference number? ^Jane",Wed Nov 01 10:58:38 +0000 2017
5074,5076,Only our missing baggage claim number,"We can have a look at this, Chris. However, if the damage hasn't been reported within 7 days of receiving the bag, we don't have any 1/2",Wed Nov 01 15:37:24 +0000 2017
5084,5085,Ba016 from Sydney.,"Hi Sierra. Again, we're sorry you’re unhappy with our catering service. If you can, please send DM with your full name, 1/2",Tue Oct 31 23:15:26 +0000 2017
5090,5087,13.5 hour flight &amp; this is all I was given for #vegan First Class breakfast. No soymilk for tea or hot meal. Disgraceful. https://t.co/aBUbzluYyU,"We're sorry you're unhappy with the catering service on board your flight, Sierra. Can you let us know your flight number? ^DaniH",Tue Oct 31 16:33:33 +0000 2017
7018,7017,help website crashed and don’t know if flights booked or not. Can’t get thru on phone!,"Hi Helen, we can check if your booking has gone through. DM us your flight details, email and contact number. ^Helen",Tue Oct 31 23:43:21 +0000 2017
7020,7019,So just left London on the train. 4:30pm. I was supposed to leave London this morning at 10am. Thanks . Morons.,Oh no! We are very sorry for the delay in responding and for your delay. It's very upsetting to call us that. ^Oliver,Tue Oct 31 23:41:16 +0000 2017
7022,7021,"More repulsive, embarrassing soggy slop in Club 8482 At least this time crew were nice &amp; didn’t eat the cream themselves","We sorry to hear this again, Rob. We'll add these comments to your previous feedback. ^Helen",Tue Oct 31 23:40:50 +0000 2017
7024,7025,Hey are you helping passengers stranded by Turkey's visa ban on Americans? Kid off at university is heartbroken.,"We're concerned to read your message, Ethan. Can you DM us a bit more information about your query? 1/2",Tue Oct 31 23:32:57 +0000 2017
7029,7034,I think you meant should!! I’m not sure how much more feedback I can give!! I’ve made my thoughts clear. Another airline may now be needed!,Thanks for your swift reply. You're correct. Your loyalty should always be shown. I apologise for my error and we can only improve 1/2,Tue Oct 31 23:31:34 +0000 2017
7027,7032,It’s Clare with no i!!,"good reason, a few examples could be an aircraft change, to accommodate families with small children or a passenger with a disability. 2/2",Wed Nov 01 09:22:45 +0000 2017
7036,7037,CS won’t get me off the plane tonight any quicker. Changes so you can make money!! No loyalty and getting worse!!!,This is worrying to read Claire. You've sent feedback before. Please send feedback of your experience on this occasion as well. 1/2,Tue Oct 31 22:30:28 +0000 2017
7039,7040,I’m now half way up the plane when I was originally in row 4! What’s the point of silver perks when you take them away!,"We're sorry for the disappointment caused in not getting your requested seat Clare. Unfortunately, seating is never guaranteed as this 1/2",Mon Oct 30 19:56:59 +0000 2017
7042,7041,when you go to check in and the one week you need to be at the front for a sharp exit and you’ve been put out your seat! 😡😡,"Hi Clare, please accept our apologies for any inconvenience the changing of your seat reservation has caused. ^L",Mon Oct 30 18:20:36 +0000 2017
8098,8099,Booking a flight to Dubai via and finding out afterwards Dubai won't give visas to the nationality we booked for. Helpful.,We're sorry for the late reply. Customers are responsible for their own travel documents. The regulations change so often from 1/2,Thu Nov 02 16:41:42 +0000 2017
8101,8102,"your agents made people check bags because the flight is full, yet many people have taken up overhead bins with coats.","Hi Leigh, we do this if there's a chance there won't be enough space for everyone. It's much harder to fix when you're all on-board! 1/2",Thu Nov 02 16:40:32 +0000 2017
8105,8103,are you kidding me? a 33-minute call to the executive club cost me over £17? that's a joke. i want my money back.,"Hi, Stephanie. You'd need to take this issue up with your phone provider. ^Julie",Thu Nov 02 16:39:57 +0000 2017
8104,8107,why’s that if it’s your phone number charge?,"We’re sorry you feel this way Stephanie, but you would need to contact your provider. Call charges are clear on https://t.co/2Ty8CEO0Dq ^Pip",Thu Nov 02 19:05:40 +0000 2017
8116,8118,"part of the cost is your service charge. no-one made it clear to me that an alternative, cheaper 034 number was available for the same call","Hi Stephanie, we advise our call charges over the phone prior to being connected, and on https://t.co/2Ty8CEO0Dq. We're sorry you weren't",Mon Nov 06 16:58:24 +0000 2017
8122,8121,WOW you’ve surpassed yourselves again. At HK &amp; it is heaving. 6 priority lanes / 5 economy. Why do this? Muppets!!,"Hi, apologies for this and we hope it doesn't take too long to check-in. We'll feed it back to our Customer Experience team. ^jm",Thu Nov 02 16:39:18 +0000 2017
8124,8123,That feeling when you find the perfect parking spot right. 😁✈️ Wouldn’t you agree #a380 ?? https://t.co/RrDf4MGVWL https://t.co/07YtNvZkhr,"We do agree, Laird. Parked to perfection. Have a great day. ^Julie",Thu Nov 02 16:39:09 +0000 2017
8128,8126,I’m campaigning for the refund on the money you stole from me over 2 months ago 🔫,"Hi, Dan. Are you referring to the refund request we're dealing with?",Thu Nov 02 16:38:05 +0000 2017
8127,8130,"I don’t know, you haven’t responded to any mails for over 2 months!","Hi Dan. So we can take a look at your Customer Relations case, please can you DM us the reference number, your full name, email address 1/2",Thu Nov 02 18:53:04 +0000 2017
8154,8155,need to get to Philadelphia or JFK airport on saturday morning to attend a family wedding. Can someone help me with this?,"Hi, Luke, our website will show the availability we have for Philadelphia and New York. 1/2",Thu Nov 02 16:34:41 +0000 2017
8158,8156,"Been to many airports but this is the worst.45m pre-security,20m bag drop.30min security w/business class #BenGurionAirport","Sorry to hear that, Louisa. Are you on your way now? Let us know if we can help. ^Kimbers",Thu Nov 02 16:33:21 +0000 2017
8157,8159,Thank you Kimbers. Managed to just make it onto my flight in the end,"That's good to hear, Louisa. Hope you had a good flight. ^Lindy",Fri Nov 03 08:36:46 +0000 2017
8161,8162,Hi I'm trying to check in online but it won't let me continue without a visa number. Im travelling to USA so I have an ESTA,"Hi David, there should still be an option to bypass adding a Visa. If you delete your cookies and refresh, it might give you the 1/2",Thu Nov 02 16:31:04 +0000 2017
8164,8166,Still no info. Courier called late yesterday &amp; no definite ETA. Leave tomorrow &amp; no No. to call. BA app has no info. V.bad service.,"Hi Steve, we appreciate how you feel. Once a bag is in the hands of a courier it's down to them to deliver it to you. You can only track 1/3",Thu Nov 02 16:28:04 +0000 2017
8168,8169,I'm now told my bag is in Naples. Public holiday in Italy so your 'help' line not open. No info when bag to be delivered. What do I do??,"Hi Steve, we're sorry you're still waiting for your bag to be delivered. Once it's been passed to a courier they should contact you 1/2",Wed Nov 01 12:07:24 +0000 2017
8171,8170,"Yes, but all our details were recorded wrong. Now corrected. Told case was at Gatwick but online says still trying to find.",We're glad to hear this has been corrected Steve. The baggage team will contact you to arrange delivery. We're sorry for the confusion. ^Kit,Mon Oct 30 18:54:53 +0000 2017
8173,8175,Lost luggage at Rome airport BA 2540 . Not very happy at lack of information on when bag will arrive.,information using the following link https://t.co/YKl4na7MJj. ^Kit 2/2,Mon Oct 30 17:23:44 +0000 2017
8219,8220,why ask for people to standdown on flight at airport surely in days of social media is ease to ask early ???,that we have to ask for volunteers at the airport. 2/2 ^Natalie,Sun Nov 05 22:49:10 +0000 2017
8324,8325,hi just a query on how there is a late arriving aircraft when the flight is just over 24hrs away? This this a glitch? https://t.co/Y3CQxXqMZz,Hi Richard. The aircraft will be on it's previous journey today and we know it will pick up a delay before it arrives back into 1/2,Sun Nov 05 23:03:14 +0000 2017
8706,8705,Have done it now! Cheers,"That's great to hear, Sean. Please don't hesitate to come back to us if you have any other queries.^Jo",Tue Oct 31 23:53:49 +0000 2017
8708,8709,Can you possibly follow me back so I can send you a DM?,"We're now following you back Sean. We apologise for the delay in responding. Please send DM including your full name, booking reference, 1/2",Tue Oct 31 20:11:57 +0000 2017
8711,8712,"Hi, can you please provide me with an email address that I can contact about my flight booking and cancelation?","Sorry for the late reply, Sirius. We're unable to provide you with an email address to amend your booking. We'll be happy to help you. 1/2",Tue Oct 31 23:47:02 +0000 2017
8714,8713,can you follow me back so I can private message you,"Hi Teresa, we're now following you so please feel free to send us a DM now.^Jo",Tue Oct 31 23:47:02 +0000 2017
8716,8715,Thanks! All sorted :),"That's good to hear, Dannah. Please don't hesitate to come back to us if you have any other queries.^Jo",Tue Oct 31 23:45:49 +0000 2017
8718,8719,"flying to NY. Adding passport details, but keep saying error? Never had this problem. Is it cause my lead passenger should?","Hi Dannah, we can certainly look into this for you and help add your passport details. Please confirm your full name, booking reference,",Mon Oct 30 18:49:38 +0000 2017
9389,9388,"I'm trying to correct a name on my BA booking, can this be done over phone? Frederick on passport but Freddy on booking","Hi Freddy, yes we'll need to correct your name via the phone. This can't be done online. ^Helen",Wed Nov 01 00:13:44 +0000 2017
9391,9390,Need to change my seat on LHR-CPH for tomorrow but have an AA ticket. How can I do that?,"Hi Julie, if you have an AA ticket they will need to make any changes for you. Please contact them. ^Helen",Wed Nov 01 00:11:28 +0000 2017
9393,9392,Hello I’ve booked an American Airlines flight (operated by Alaska); will I still earn BA tier points on this flight?,"Hi Chaz, there's a Flight Calculator online that will tell you how many Avios and Tier Points you will receive. ^Helen",Wed Nov 01 00:09:27 +0000 2017
9395,9394,Do I have to fly a certain amount of flights on BA planes to obtain a status in Executive Club or could it also be on AA?,"Hi Toby, attaining Tier Points will move you through the tiers of the Club. You do collect Tier Points on AA. ^Helen",Wed Nov 01 00:06:15 +0000 2017
9397,9396,Flew the other day. Best. Safety. Video. Ever. 😂😂😂https://t.co/S2uFLGEcxq,"Hi David, so pleased you enjoyed our safety video. Hope we can welcome you on board again very soon. ^Jo",Wed Nov 01 00:03:23 +0000 2017
9399,9398,I tried to purchase food (bacon bap/sandwich) and drink for my 3 children but they ran out (we were in row 14).so they had nothing.,"Did you get home okay, Sheena? Please let us know if you have any out of pocket expenses. ^Helen",Wed Nov 01 00:02:38 +0000 2017
9403,9401,flight BA0471- 3 hour delay on Tarmac with loads of kids onboard no food/drink provided #jokeairline #notimpressed,"We're so sorry for the delay, Sheena. I know the was then an aircraft change, I hope the crew updated you. Did you purchase any food? ^Dani",Tue Oct 31 08:44:31 +0000 2017
9405,9404,.'s Safety Video is the best thing ever! 👏👏,"So pleased you enjoyed our safety video, Stephanie. Hope we can welcome you on board again very soon.^Jo",Wed Nov 01 00:00:57 +0000 2017
9874,9875,"Hi how is it that #bapricepromise team says they dont see the price in this picture and refuse to pay the claim, any idea? https://t.co/5gNVZBJ12v","Sorry for the late reply, Jarek. We're afraid our Social Media team aren't trained to assist with these type of queries. 1/2",Wed Nov 01 00:28:10 +0000 2017
9878,9876,Appalling commercial/customer awareness this evening. My patience and like for Avios points are almost at an end.,"We don't like to hear this, Terry. Can you tell us more? ^Helen",Wed Nov 01 00:27:40 +0000 2017
9877,9880,Too long a story for 140 characters. Feel free to call me,"Hi Terry, unfortunately we don't have your contact number. Please can you DM this to us? Please also include any references that may 1/2",Wed Nov 01 13:20:32 +0000 2017
9882,9881,The best bit about safety video is https://t.co/TjVHuJll5z,"So pleased you enjoyed our safety video, Fergus. We hope we can welcome you on board again very soon.^Jo",Wed Nov 01 00:25:05 +0000 2017
9885,9883,What is the bag size restrictions LxWxH for im-cabin?,You should find the information you need here: https://t.co/D7SBviVNUr. ^DaniH,Wed Nov 01 00:24:15 +0000 2017
9888,9891,I have tried again today and still can't get through. Could someone from CR please contact me as this is getting ridiculous. Thanks,"We're sorry you haven't been unable to get in touch. Unfortunately, you'll need to complete the webform here: https://t.co/SxxbMHLPx6 1/2",Wed Nov 01 00:22:00 +0000 2017
9887,9889,Contacted MasterCard and they referred me to you. Managed to get through having being transferred from 0800727800 and sorted immediately.,"Glad to hear it, Jon. Thanks for letting us know. ^Lolly",Tue Nov 07 19:43:51 +0000 2017
9894,9895,"Yes - the ATM says to cantact provider - the number on the back of the card is the number you gave me, but it hasn't been working for weeks","Sorry Jon, our Customer Relations team are only open between the hours of 13:00 and 17:00. Please click on the 1/2",Sat Oct 28 17:57:55 +0000 2017
9897,9898,No they're not. Called 30+ times and when you get through it says they are dealing with backlog and won't take any calls. It's a joke,We're sorry you've been unable to get in touch with Customer Relations. 1/2,Fri Oct 27 16:01:58 +0000 2017
9901,9902,30+ attempts over last 6 weeks to call you about compensation MasterCard that doesn't work. Department not taking calls!,Monday-Friday 13:00-17:00. You can find info about your compensation Mastercard here:https://t.co/2dTt08yuGp. 2/2 ^Linda,Fri Oct 27 07:02:20 +0000 2017
10723,10721,"That's it, I'm on board with , ready to leave Tokyo for London. No, before you ask, I don't want to go. https://t.co/qCYaTtfO9c","We're glad to have you back on board, Andy. We know that you don't want to leave Tokyo so you'll just have to go back. ^Helen",Wed Nov 01 00:41:30 +0000 2017
10722,10724,"That’s definitely the plan! Thanks for the great flight, as always.","We're very glad to hear it, Andy! Although we know it's always nice to be away, there's something even nicer about coming home. ^HP",Wed Nov 01 14:30:22 +0000 2017
10729,10727,firstly Cabin Service Manager Lesley Thomson is fantastic and went above and beyond during a flight from Vegas to Heathrow,"Hi Kevin, we don't like to read this. Did our crew offer to move your seat? ^Helen",Wed Nov 01 00:34:10 +0000 2017
10731,10732,It's okay...i got a £20 voucher / appology,"That's good to hear, Kevin. Thanks for your understanding, I do hope we can welcome you back on board soon. Many thanks. ^Lisa.",Wed Nov 01 21:14:59 +0000 2017
10736,10734,Hi any idea when issues with booking references will be fixed still getting error no flights in the booking !!!,"Hi Phil, a patch will be done on 1 November. This should resolve the issues you are having. ^Helen",Wed Nov 01 00:29:44 +0000 2017
11180,11179,arrived on time. Great! Spoiled by waiting for bags and choice of meal not bring available in Club Europe. BA 827.,Apologies for the delay to your bag and the choice of meals available. We'll pass your comments on. ^Helen,Wed Nov 01 00:51:14 +0000 2017
11182,11181,"Off to the Big Apple (just landed actually, it was a delight)","That's great to hear, Amy. Enjoy the Big Apple. ^Helen",Wed Nov 01 00:47:54 +0000 2017
11184,11183,Let’s do this X 🗽 #FlyBA #ClubWorld #thewhitecompany #BAxTWC https://t.co/q8L7mskItx,"Thanks for your amazing post, Amy. Where will you be travelling to? ^DaniH",Tue Oct 31 16:59:41 +0000 2017
12117,12113,"still no refund, your assistance comes every 12hrs &amp; no money since 17/10. Are you waiting for the problem to fix itself?","Hi Viviana, we have escalated this with our Refunds team today for you. They'll be in touch asap. ^Helen",Wed Nov 01 01:19:40 +0000 2017
12114,12118,I am still waiting 😒 https://t.co/7860yS2G9s,"Hi Lara, we can't see the option to follow you, have you ever provided details for the funds you're waiting for? ^HP",Wed Nov 01 13:32:53 +0000 2017
12119,12120,"This is what I was told and since then, no one contacted me asking about my email in order to provide further details. #refund https://t.co/7RoF4wNv9v","We're sorry you remain unhappy, Lara, but, as previously advised, we're not able to respond further to this matter. ^HP",Wed Nov 01 17:55:18 +0000 2017
12115,12125,"Hi Helen, I’ve been told this already by a couple of representatives over the last days. This seems like joke. Not happy at all.","appropriate channels, but we're unable to speed up this process any further unfortunately. We hope the funds are back with you ASAP. ^HP 2/2",Wed Nov 01 12:59:22 +0000 2017
